area_id,monster_id,skill_id,role,source,relative_path,issue,content_status,style_status,required_action,reason,changes_original_art,reuse_note
area_11,,,MANIFEST,PREVIOUS_MECHANICAL_AUDIT_REUSED,OUTPUT_MANIFEST.csv,"canonical per-file columns missing: effect_role, frame_count, frame_index, relative_path, sha256, work_order",NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
area_11,m_ratz,s_mon_ratz,RESULT_INFO,PREVIOUS_MECHANICAL_AUDIT_REUSED,monsters/001_m_ratz_라츠/RESULT_INFO.md,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
area_11,m_ratz,s_mon_ratz,PREVIEW,PREVIOUS_MECHANICAL_AUDIT_REUSED,monsters/001_m_ratz_라츠/PREVIEW/labeled_preview.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
area_11,m_drumming_bunny,s_mon_drumming_bunny,RESULT_INFO,PREVIOUS_MECHANICAL_AUDIT_REUSED,monsters/002_m_drumming_bunny_북치는_토끼/RESULT_INFO.md,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
area_11,m_drumming_bunny,s_mon_drumming_bunny,PREVIEW,PREVIOUS_MECHANICAL_AUDIT_REUSED,monsters/002_m_drumming_bunny_북치는_토끼/PREVIEW/labeled_preview.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
area_11,m_bloctopus,s_mon_bloctopus,RESULT_INFO,PREVIOUS_MECHANICAL_AUDIT_REUSED,monsters/003_m_bloctopus_블록퍼스/RESULT_INFO.md,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
area_11,m_bloctopus,s_mon_bloctopus,PREVIEW,PREVIOUS_MECHANICAL_AUDIT_REUSED,monsters/003_m_bloctopus_블록퍼스/PREVIEW/labeled_preview.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
area_11,m_king_bloctopus,s_mon_king_bloctopus,RESULT_INFO,PREVIOUS_MECHANICAL_AUDIT_REUSED,monsters/004_m_king_bloctopus_킹_블록퍼스/RESULT_INFO.md,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
area_11,m_king_bloctopus,s_mon_king_bloctopus,PREVIEW,PREVIOUS_MECHANICAL_AUDIT_REUSED,monsters/004_m_king_bloctopus_킹_블록퍼스/PREVIEW/labeled_preview.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
area_11,m_rombot,s_mon_rombot,RESULT_INFO,PREVIOUS_MECHANICAL_AUDIT_REUSED,monsters/005_m_rombot_롬바드/RESULT_INFO.md,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO,"같은 원본 ZIP 해시의 기존 기술 판정. missing은 기대 canonical 경로 기준이며, 다른 내부 경로에 있는 실제 납품 원화가 사라졌다는 뜻이 아님."
