file,bytes,sha256
AREA_01_IMAGES_INPUT_V2_4.zip,5226223,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b
AREA_02_IMAGES_INPUT_V2_4.zip,3309561,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff
AREA_03_IMAGES_INPUT_V2_4.zip,4007928,4678637c7b62993ea0edb5d107ad5095795e9686a8816b774c1f3c4441769234
AREA_04_IMAGES_INPUT_V2_4.zip,2970888,0e4e4cc08448263049e4d3a12397b8d4fcb4f6a51744124aa76353736be5e4af
AREA_05_IMAGES_INPUT_V2_4.zip,3028544,a03d67a4fcde691aa47f2dd7541b547a170f054ed755967e42de9d5636ff45d1
AREA_07_IMAGES_INPUT_V2_4.zip,3157034,23f9585e486719f4a4eefb7b354c01e4e7d8aa6b4de316af03fedec9bcd69002
AREA_08_IMAGES_INPUT_V2_4.zip,2966815,b613e6f6e75463d727437fdc3e7b451f594d7fc330ae30a2de614341d7d09c1d
AREA_09_IMAGES_INPUT_V2_4.zip,2922585,6e7559fce3f98885298240dee6b9857197785ef59c6dfa9632868bb2aa572298
AREA_10_IMAGES_INPUT_V2_4.zip,2971740,e41e8926e4c9954799ccc7acaa04581d1d7760689f6a5a5667ab5cc1c69894f5
AREA_11_IMAGES_INPUT_V2_4.zip,2868276,b3a1d049f22cb7147e9c4f0f88e1d8553533479200c8fe507e128658e0ec2d58
AREA_12_IMAGES_INPUT_V2_4.zip,2938199,9fe99b2fac2f103ec2de5d90fe2074f7a9fc32ff425a5f8933b7fbe1de90e202
AREA_13_IMAGES_INPUT_V2_4.zip,2877873,3601cf990e76e142a1f970b1a0231e59c637253a020305a0dca6553f6dd709b9
AREA_14_IMAGES_INPUT_V2_4.zip,2870172,0d4c4ef08f1e1f16ab1b93cbdd5f9c5ffa7d3587ca8d3bb306d8892fadbee61e
AREA_15_IMAGES_INPUT_V2_4.zip,3053742,0e8a8fc2b6c3724ff3a09ea959092ba91c7c49d8f095977b9bfc259d919b7925
AREA_16_IMAGES_INPUT_V2_4.zip,2935613,0b586bfba4713d87745f66aa0844cc524530e1d34bcad80cbcbfda6d73eb3ba0
AREA_17_IMAGES_INPUT_V2_4.zip,2882736,6a7fb8791df166b3e4f3085d02b2c3cf34b05be8490b258dd8b78be0c8252392
AREA_18_IMAGES_INPUT_V2_4.zip,2950151,5cc2ff3fd23eede6928d0db178a46fb0273d7406fe649365edcbde06b9204ffe
AREA_19_IMAGES_INPUT_V2_4.zip,2932418,5577fd54205ef9e7d81a893a46744a58690e3649d48121c1f630fc57a1b2faf9
AREA_20_IMAGES_INPUT_V2_4.zip,3132875,71bb337b9929b2142a7b99d3472615a9851fd2221d258557c1dfecd23fb76d3e
ALL_AREAS_INPUT_V2_4_INDEX.md,3219,61bca8e4f57bff1d03407585f68f0f519f761afe01d37927c7ea28c7d0078380
FULL_ART_SCOPE.csv,295831,66b5420404ea46c82fbcdec496e8b19c070d5f2bf69176ec7f637db82ccd43de
INPUT_V2_4_CHANGELOG.md,968,0aa53bcc9345b60b4986f49574230c159f97d038db8ea073ec6a5dead21f910d
INPUT_V2_4_VALIDATION.md,1068,d1e5261d73b7b0f532ca953aee5f4dff84f86111d5402c5bdb4b84d4e7e28538
INPUT_V2_4_VALIDATION.json,726,ec04086d03535dcfed6a00391df3e9743413f779d0c4b92aa15cbaa153a71b86
BUILD_RESULT.json,324,a01b0e1037a1f90cdd6c5ef886921eea88d0348528f0340cc6cbe6fb7f3c830f
