area_id,monster_id,skill_id,before,after,evidence,impact
area_01,m_snail,s_mon_snail_dew_trail,AREA 00 승인 AnimationClip/ICON 바이트 재사용. 승인 보고서의 플레이어 좌우·몬스터 시전자 검증을 따르며 신규 생성하지 않음,"플레이어는 즉시 시전자 중심 원형 피해 판정 뒤 CAST한다. 몬스터는 축소 반경 판정이 실제 명중한 경우 CAST한다. 지연 레이어는 SpawnLayer 실행 시점의 시전자 좌표를 읽고, 스폰 뒤에는 맵 엔티티로 drift가 적용된다. L1 delay=0s duration=0.8s offset=(0,0)wu drift=(0,0)wu/s.","PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
area_01,m_blue_snail,s_mon_blue_snail,AREA 00 승인 AnimationClip/ICON 바이트 재사용. 승인 보고서의 플레이어 좌우·몬스터 시전자 검증을 따르며 신규 생성하지 않음,"플레이어/몬스터 모두 자기 효과 적용 성공 후 시전자 위치에서 방향 반전 없이 CAST한다. L1 delay=0s duration=0.85s offset=(0,0)wu drift=(0,0)wu/s; L2 delay=0.12s duration=0.7s offset=(0,0)wu drift=(0,0)wu/s.","PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
area_01,m_mushroom,s_mon_mushroom,"플레이어: 즉시 시전자 중심 원형 피해 판정 후 CAST. 몬스터: 축소 반경의 시전자 중심 원형 판정이 실제 명중한 경우에만 CAST. CAST는 시전자 원점+h, 좌측 대상/시선이면 FlipX. L1 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0s duration=0.55s scale=0.38 offset=(-0.28,0)wu drift=(-0.28,0.12)wu/s; L2 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.08s duration=0.6s scale=0.36 offset=(0,0.04)wu drift=(0,0.18)wu/s; L3 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.16s duration=0.65s scale=0.34 offset=(0.28,-0.04)wu drift=(0.28,0.12)wu/s","플레이어는 즉시 시전자 중심 원형 피해 판정 뒤 CAST한다. 몬스터는 축소 반경 판정이 실제 명중한 경우 CAST한다. 지연 레이어는 SpawnLayer 실행 시점의 시전자 좌표를 읽고, 스폰 뒤에는 맵 엔티티로 drift가 적용된다. L1 delay=0s duration=0.55s offset=(-0.28,0)wu drift=(-0.28,0.12)wu/s; L2 delay=0.08s duration=0.6s offset=(0,0.04)wu drift=(0,0.18)wu/s; L3 delay=0.16s duration=0.65s offset=(0.28,-0.04)wu drift=(0.28,0.12)wu/s.","PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
area_01,m_mushmom,s_mon_mushmom,"플레이어: 즉시 시전자 중심 원형 피해 판정 후 CAST. 몬스터: 축소 반경의 시전자 중심 원형 판정이 실제 명중한 경우에만 CAST. CAST는 시전자 원점+h, 좌측 대상/시선이면 FlipX. L1 05113e9dc86448cb8581731824106d75 animationclip/clip delay=0s duration=0.75s scale=0.9 offset=(0,-0.08)wu drift=(0,0)wu/s; L2 86734a2715504c10b1e50ae810609e25 animationclip/clip delay=0.1s duration=0.72s scale=1.15 offset=(0,-0.08)wu drift=(0,0)wu/s; L3 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.22s duration=0.7s scale=0.72 offset=(0,0)wu drift=(0,0.18)wu/s","플레이어는 즉시 시전자 중심 원형 피해 판정 뒤 CAST한다. 몬스터는 축소 반경 판정이 실제 명중한 경우 CAST한다. 지연 레이어는 SpawnLayer 실행 시점의 시전자 좌표를 읽고, 스폰 뒤에는 맵 엔티티로 drift가 적용된다. L1 delay=0s duration=0.75s offset=(0,-0.08)wu drift=(0,0)wu/s; L2 delay=0.1s duration=0.72s offset=(0,-0.08)wu drift=(0,0)wu/s; L3 delay=0.22s duration=0.7s offset=(0,0)wu drift=(0,0.18)wu/s.","PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
area_01,m_horny_mushroom,s_mon_horny_mushroom,런타임 VFX 없음. 보유 효과는 PlayerStats가 적용하며 REFERENCE_VFX는 제작 검수용·자동 반입 금지,CAST 호출 없음. PlayerStats가 보유 수량을 읽어 스탯을 계산한다. REFERENCE_VFX는 제작 검수용이며 runtime_use=false다.,"PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
area_02,m_stone_golem,s_mon_stone,"플레이어/몬스터 모두 자기 자신에게 효과 적용 성공 후 시전자 원점+h에 CAST 재생, FlipX 없음. L1 05113e9dc86448cb8581731824106d75 animationclip/clip delay=0s duration=0.65s scale=0.8 offset=(0,-0.06)wu drift=(0,0)wu/s; L2 86734a2715504c10b1e50ae810609e25 animationclip/clip delay=0.12s duration=0.72s scale=0.9 offset=(0,-0.06)wu drift=(0,0)wu/s","플레이어/몬스터 모두 자기 효과 적용 성공 후 시전자 위치에서 방향 반전 없이 CAST한다. L1 delay=0s duration=0.65s offset=(0,-0.06)wu drift=(0,0)wu/s; L2 delay=0.12s duration=0.72s offset=(0,-0.06)wu drift=(0,0)wu/s.","PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
area_02,m_axe_stump,s_mon_axe_stump,"플레이어: 즉시 시전자 중심 원형 피해 판정 후 CAST. 몬스터: 축소 반경의 시전자 중심 원형 판정이 실제 명중한 경우에만 CAST. CAST는 시전자 원점+h, 좌측 대상/시선이면 FlipX. L1 0207c85c05dd4c4eac12f9ee735d0545 animationclip/clip delay=0s duration=0.55s scale=0.7 offset=(0.05,0)wu drift=(0.3,0)wu/s; L2 997628810df4448f9e534bc426d6794a animationclip/clip delay=0.14s duration=0.48s scale=0.62 offset=(0.65,0)wu drift=(0,0)wu/s","플레이어는 즉시 시전자 중심 원형 피해 판정 뒤 CAST한다. 몬스터는 축소 반경 판정이 실제 명중한 경우 CAST한다. 지연 레이어는 SpawnLayer 실행 시점의 시전자 좌표를 읽고, 스폰 뒤에는 맵 엔티티로 drift가 적용된다. L1 delay=0s duration=0.55s offset=(0.05,0)wu drift=(0.3,0)wu/s; L2 delay=0.14s duration=0.48s offset=(0.65,0)wu drift=(0,0)wu/s.","PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,"플레이어: 즉시 시전자 중심 원형 피해 판정 후 CAST. 몬스터: 축소 반경의 시전자 중심 원형 판정이 실제 명중한 경우에만 CAST. CAST는 시전자 원점+h, 좌측 대상/시선이면 FlipX. L1 a77ea54c400e4b56a44ed05091a0ae53 animationclip/clip delay=0s duration=0.82s scale=0.82 offset=(-0.28,-0.12)wu drift=(0,0)wu/s; L2 a77ea54c400e4b56a44ed05091a0ae53 animationclip/clip delay=0.12s duration=0.82s scale=0.82 offset=(0.28,-0.12)wu drift=(0,0)wu/s","플레이어는 즉시 시전자 중심 원형 피해 판정 뒤 CAST한다. 몬스터는 축소 반경 판정이 실제 명중한 경우 CAST한다. 지연 레이어는 SpawnLayer 실행 시점의 시전자 좌표를 읽고, 스폰 뒤에는 맵 엔티티로 drift가 적용된다. L1 delay=0s duration=0.82s offset=(-0.28,-0.12)wu drift=(0,0)wu/s; L2 delay=0.12s duration=0.82s offset=(0.28,-0.12)wu drift=(0,0)wu/s.","PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
area_02,m_wild_boar,s_mon_wild_boar,"플레이어: 8방향으로 5.0wu를 0.2초 이동하고 계산 도착점에서 피해 판정; 직후 CAST는 서버가 보는 시전자 위치에 부착되어 계산 도착점과 일치가 보장되지 않음. 몬스터: dash_distance 분기 없이 즉시 시전자 중심 원형 판정 후 명중 시 CAST. L1 0207c85c05dd4c4eac12f9ee735d0545 animationclip/clip delay=0s duration=0.55s scale=0.75 offset=(-0.15,-0.15)wu drift=(0,0)wu/s; L2 79c9b3b094dd49eda90e80d178f0ff28 animationclip/clip delay=0.16s duration=0.65s scale=0.7 offset=(0.55,-0.12)wu drift=(0,0)wu/s","플레이어는 8방향으로 5wu를 0.2초 이동하고 계산 도착점에서 피해를 판정한다. PlayCast는 직후 서버가 보는 시전자 위치를 사용하므로 CAST 위치와 계산 피해점의 일치는 보장되지 않는다. 몬스터는 dash 분기 없이 시전자 중심 원형 판정 후 명중 시 CAST한다. L1 delay=0s duration=0.55s offset=(-0.15,-0.15)wu drift=(0,0)wu/s; L2 delay=0.16s duration=0.65s offset=(0.55,-0.12)wu drift=(0,0)wu/s.","PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
area_02,m_iron_hog,s_mon_iron_hog,런타임 VFX 없음. 보유 효과는 PlayerStats가 적용하며 REFERENCE_VFX는 제작 검수용·자동 반입 금지,CAST 호출 없음. PlayerStats가 보유 수량을 읽어 스탯을 계산한다. REFERENCE_VFX는 제작 검수용이며 runtime_use=false다.,"PlayerAttack.mlua:277-323,483-504; MonsterAttack.mlua:383-402,450-529; SkillEffect.mlua:55-60,83-117,149-194",documentation/runtime-role contract only; game data/code unchanged
